id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q2407022,President of Artsakh,Q244165,Q244165,,,1994-12-29,,,,President of Artsakh
Q2412322,Prime Minister of Artsakh,Q244165,,,,1992-01-08,,,,Prime Minister of the Nagorno-Karabakh Republic
Q65118769,State Minister of Artsakh,,Q244165,,,,,,,State Minister of Artsakh
Q110124424,Minister of Defence of the Nagorno Karabakh Republic,,Q244165,,,,,,,
Q19901421,Minister of Foreign Affairs,Q244165,,,,,,,,List of Ministers of Foreign Affairs of the Republic of Artsakh
Q3911072,President of the National Assembly of Artsakh,Q399,,,,1991-09-12,,,,President of the National Assembly of Artsakh
