item,itemLabel,startDate,endDate,psid
Q1509230,Georgi Petrosjan,1992-04-15,1993-06-14,Q1509230-F999DC8A-82C6-419C-9F4F-2B9AE44B56E5
Q2389126,Artur Mkrtchyan,1992-01-08,1992-04-14,Q2389126-48CDB2A5-0FD1-4DF3-BC56-C50F755E7106
Q4074547,Karen Baburyan,1993-06-14,1996-03,Q4074547-F425C615-03C0-4E2F-87E8-83372A34D17B
Q4151991,Ashot Ghulian,2005-07-01,2020-05-21,Q4151991-83B6A5DD-D0A4-4F07-A373-13CB23C28767
Q4459252,Arthur Tovmasyan,2020-05-21,,Q4459252-8EDE5CA0-5B89-4E86-ACB6-52F981E473AD
Q4459252,Arthur Tovmasyan,1996-03,1997-12-02,Q4459252-F431DDEE-3AE7-4370-A545-42361D1D8639
Q511888,Leonard Petrosyan,1991-09-12,1992-01-08,Q511888-D97E18E8-FDE7-4B74-A9AB-9F924AC47EAD
Q741150,Oleg Yesayan,1997-12-02,2005-07-01,Q741150-CA383965-519A-4080-AB12-3277362D09D1
