@@,itemlabel,item,startdate,enddate
->,Arkadi Ghukasyan,Q541507,1993-07-23->1993,1997-09-08->1997
->,Naira Melkumyan,Q87256401->NULL,1997,2002
->,Ashot Ghulian->Ashot Gulyan,Q4151991,2002,2004
->,Arman Melikyan,Q4289478->NULL,2004,2005
->,Georgi Petrosjan->Georgy Petrosyan,Q1509230,2007->2005,2011
->,Vasily Atajanyan,Q87256433->NULL,2011,2012
->,Karen Mirzoyan,Q18387091,2012-09-22->2012,2017-09-25->2017
->,Masis Mayilyan,Q4274665,2017-09-25->2017,2021-01-04->2021
->,David Babayan,Q21531891,2021-01-04->2021,
