item,itemLabel,position,positionLabel,start,psid
Q110978838,Artak Beglaryan,Q65118769,State Minister of Artsakh,2021-06-03,Q110978838-1427A874-E9E1-49FD-9CAE-2C6C069C4D0E
Q21531891,David Babayan,Q19901421,Minister of Foreign Affairs,2021-01-04,Q21531891-027E95E2-47A4-4DDA-A673-10FBC027799E
Q440824,Arayik Harutyunyan,Q2407022,President of Artsakh,2020-05-21,Q440824-35c3b7d0-43ad-649a-25ff-54be87c87a63
Q97203851,Kamo Vardanyan,Q110124424,Minister of Defence of the Nagorno Karabakh Republic,2021-09-11,Q97203851-7D712188-C136-4F62-8230-534AD34A76BF
