item,itemLabel,startDate,endDate,psid
Q16382408,Levon Mnatsakanyan,2015-06-15,2018-12-14,Q16382408-AE35EE6E-164E-4BB5-A623-681FAFAD2573
Q20514164,Mikael Arzumanyan,2020-10-27,2021-09-11,Q20514164-48C26692-265F-42B1-902F-7FA0AD983BD2
Q2495740,Samvel Babayan,1995-01,1999-08,Q2495740-EBC4CD54-B048-4A3B-9E49-FB6B4D11F4B5
Q2634821,Seyran Ohanyan,1999-08,2007-05-11,Q2634821-279647AC-0059-44F0-97E9-B031108649A4
Q4059763,Movses Hakobyan,2007-05-11,2015-06-15,Q4059763-423569F6-03BC-496B-A875-1E04C888F499
Q59771480,Karen Abrahamyan,2018-12-14,2020-02-24,Q59771480-A804E03E-9144-4444-B98D-150C688821F7
Q85618809,Jalal Harutyunyan,2020-02-24,2020-10-27,Q85618809-34F73CB1-B693-4A8B-94D4-E8C9A514E0C7
Q97203851,Kamo Vardanyan,2021-09-11,,Q97203851-7D712188-C136-4F62-8230-534AD34A76BF
